Number;Chemical name;Chemical Formula;Monoisotopic mass;[M+H]+;[M-H]-;Smile Code;INCHi;Source
3094;Enrofloxacin-R045;;478.168621;479.176446;477.160796;;;
3095;Enrofloxacin-R046;;487.223098;488.230923;486.215273;;;
3096;Enrofloxacin-R047;;487.259483;488.267308;486.251658;;;
3097;Enrofloxacin-R048;;488.230923;489.238748;487.223098;;;
3098;Enrofloxacin-R049;;488.243499;489.251324;487.235674;;;
3099;Enrofloxacin-R050;;488.243499;489.251324;487.235674;;;
3100;Enrofloxacin-R051;;489.202363;490.210188;488.194538;;;
3101;Enrofloxacin-R052;;490.210188;491.218013;489.202363;;;
3102;Enrofloxacin-R053;;490.205006;491.212831;489.197181;;;
3103;Enrofloxacin-R054;;559.244228;560.252053;558.236403;;;
3104;Enrofloxacin-R055;;496.223432;497.231257;495.215607;;;
3105;Enrofloxacin-R056;;503.218013;504.225838;502.210188;;;
3106;Enrofloxacin-R057;;503.254398;504.262223;502.246573;;;
3107;Enrofloxacin-R058;;504.225838;505.233663;503.218013;;;
3108;Enrofloxacin-R059;;506.232934;507.240759;505.225109;;;
3109;Enrofloxacin-R060;;506.199921;507.207746;505.192096;;;
3110;Enrofloxacin-R061;;512.218347;513.226172;511.210522;;;
3111;Enrofloxacin-R062;;515.265631;516.273456;514.257806;;;
3112;Enrofloxacin-R063;;521.217345;522.22517;520.20952;;;
3113;Enrofloxacin-R064;;587.275528;588.283353;586.267703;;;
3114;Enrofloxacin-R065;;522.227849;523.235674;521.220024;;;
3115;Enrofloxacin-R066;;522.227849;523.235674;521.220024;;;
3116;Enrofloxacin-R067;;531.249313;532.257138;530.241488;;;
3117;Enrofloxacin-R068;;531.260546;532.268371;530.252721;;;
3118;Enrofloxacin-R069;;601.291178;602.299003;600.283353;;;
3119;Enrofloxacin-R070;;601.291178;602.299003;600.283353;;;
3120;Enrofloxacin-R071;;537.21226;538.220085;536.204435;;;
3121;Enrofloxacin-R072;;537.21226;538.220085;536.204435;;;
3122;Enrofloxacin-R073;;538.222764;539.230589;537.214939;;;
3123;Enrofloxacin-R074;;545.243833;546.251658;544.236008;;;
3124;Enrofloxacin-R075;;551.191525;552.19935;550.1837;;;
3125;Enrofloxacin-R076;;616.265692;617.273517;615.257867;;;
3126;Enrofloxacin-R077;;553.207175;554.215;552.19935;;;
3127;Enrofloxacin-R078;;553.207175;554.215;552.19935;;;
3128;Enrofloxacin-R079;;558.260212;559.268037;557.252387;;;
3129;Enrofloxacin-R080;;561.238748;562.246573;560.230923;;;
3130;Enrofloxacin-R081;;563.22791;564.235735;562.220085;;;
3131;Enrofloxacin-R082;;635.275528;636.283353;634.267703;;;
3132;Enrofloxacin-R083;;587.275528;588.283353;586.267703;;;
3133;Enrofloxacin-R084;;601.291178;602.299003;600.283353;;;
3134;Enrofloxacin-R085;;601.291178;602.299003;600.283353;;;
